anchor_start,anchor_end,cause_start,cause_end,modifier,raw_line
B188,B199,U099,U109,,U099 - U109
B188,B199,U129,Y98,,U129 - Y98
B200,B24,B200,B24,,B200 - B24
B200,B24,C000,C969,,C000 - C969
B200,B24,D477,D477,,D477
B200,B24,D500,D559,,D500 - D559
B200,B24,D600,D699,,D600 - D699
B200,B24,F110,F119,,F110 - F119
B200,B24,F130,F169,,F130 - F169
B200,B24,F190,F199,,F190 - F199
B200,B24,R75,R75,,R75
B200,B24,S001,S029,,S001 - S029
B200,B24,S070,S090,,S070 - S090
B200,B24,S097,S099,,S097 - S099
B200,B24,S110,S129,,S110 - S129
B200,B24,S150,S159,,S150 - S159
B200,B24,S170,S199,,S170 - S199
B200,B24,S210,S229,,S210 - S229
B200,B24,S280,S299,,S280 - S299
B200,B24,S310,S328,,S310 - S328
B200,B24,S350,S399,,S350 - S399
B200,B24,S410,S429,,S410 - S429
B200,B24,S450,S459,,S450 - S459
B200,B24,S47,S499,,S47  - S499
B200,B24,S510,S529,,S510 - S529
B200,B24,S550,S559,,S550 - S559
B200,B24,S570,S599,,S570 - S599
B200,B24,S650,S659,,S650 - S659
B200,B24,S670,S699,,S670 - S699
B200,B24,S810,S829,,S810 - S829
B200,B24,S850,S859,,S850 - S859
B200,B24,S870,S899,,S870 - S899
B200,B24,S950,S959,,S950 - S959
B200,B24,S970,S999,,S970 - S999
B200,B24,T010,T08,,T010 - T08
B200,B24,T091,T091,,T091
B200,B24,T098,T10,,T098 - T10
B200,B24,T111,T111,,T111
B200,B24,T116,T12,,T116 - T12
B200,B24,T131,T131,,T131
B200,B24,T136,T139,,T136 - T139
B200,B24,T141,T142,,T141 - T142
B200,B24,T145,T145,,T145
B200,B24,T147,T329,,T147 - T329
B200,B24,T76,T76,,T76
B200,B24,T802,T802,,T802
B200,B24,T808,T809,,T808 - T809
B200,B24,T901,T901,,T901
B200,B24,T908,T909,,T908 - T909
B200,B24,T911,T922,,T911 - T922
B200,B24,T926,T932,,T926 - T932
B200,B24,T936,T959,,T936 - T959
B200,B24,T980,T980,,T980
B200,B24,Y600,Y609,,Y600 - Y609
B200,B24,Y620,Y629,,Y620 - Y629
B200,B24,Y640,Y649,,Y640 - Y649
B200,B24,Y830,Y849,,Y830 - Y849
B250,B259,A000,R002,,A000 - R002
B250,B259,R008,U079,,R008 - U079
B250,B259,U099,U109,,U099 - U109
B250,B259,U129,Y98,,U129 - Y98
B260,B269,B260,B269,,B260 - B269
B270,B484,A000,R002,,A000 - R002
B270,B484,R008,U079,,R008 - U079
B270,B484,U099,U109,,U099 - U109
B270,B484,U129,Y98,,U129 - Y98
B485,B485,A000,U079,,A000 - U079
B485,B485,U099,U109,,U099 - U109
B485,B485,U129,Y98,,U129 - Y98
B487,B49,A000,R002,,A000 - R002
B487,B49,R008,U079,,R008 - U079
B487,B49,U099,U109,,U099 - U109
